n_estimators,dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
10,hastie,CF-Iso,0,0.9448474470734745,0.10196478248767092,0.5918506304976703,0.0,6.948537798436018e-33,0.007226404106123742,0.00031455233374618185
10,hastie,CF-Iso,1,0.9467730439534398,0.10082409493631822,0.5965312942875316,0.0,4.0976125254809065e-36,0.008476115697922684,0.0003297459800778497
10,hastie,CF-Iso,2,0.9412434510994686,0.10273254321919444,0.5890690965793939,0.0,3.9286497231360934e-26,0.00530707056364294,0.00033825062694923933
10,hastie,CF-Iso,3,0.9399108400438198,0.10562833409828791,0.5773393898653615,0.0,5.809717166146264e-28,0.007935151101986249,0.0003620857933090602
10,hastie,CF-Iso,4,0.9497835488210249,0.09728165356362073,0.6106614125145529,0.0,2.6783823557924996e-35,0.008113650564745112,0.0004866970776888767
10,hastie,CF-Iso,5,0.9454959217901182,0.10041539606082711,0.5982739610455526,0.0,1.1058964335451744e-33,0.007051500141571042,0.00019078456224232962
10,hastie,CF-Iso,6,0.9442146436865909,0.10016399989134848,0.5993039308276888,0.0,8.954600003268875e-30,0.005666326035798434,2.3645152330105213e-05
10,hastie,CF-Iso,7,0.9544706416766228,0.09311990026705114,0.6274965587115531,0.0,1.4479731523492041e-41,0.009167504085191236,0.00028699748215108175
10,hastie,CF-Iso,8,0.9489836064699229,0.09792594358937394,0.6081959237989968,0.0,3.7874539798570786e-37,0.008152640867300245,0.00018050345822578283
10,hastie,CF-Iso,9,0.9513446834992888,0.09685483748397193,0.6125117632664707,0.0,3.446318732337234e-41,0.009578525340640184,0.0004104377967553151
35,hastie,CF-Iso,0,0.9715471001601138,0.06962906316366423,0.7212855504034077,4.480545989782314e-08,8.866803795945504e-10,0.0018252567308300548,0.00012031318723861105
35,hastie,CF-Iso,1,0.9726498740128561,0.06771112442190766,0.7290397721884018,2.349269423440603e-08,8.932512705797231e-11,0.0019180516920462656,9.194252006306273e-05
35,hastie,CF-Iso,2,0.9709132816236118,0.06997658110953822,0.720093177949719,1.1475775885116946e-10,6.028169778281582e-11,0.002439570129978845,0.00013123128125877266
35,hastie,CF-Iso,3,0.9724721858638743,0.06806536804286996,0.7276436267633568,2.0212964635391018e-10,1.8539158468126375e-12,0.00244994289979486,0.00011976991929146919
35,hastie,CF-Iso,4,0.9760749741525943,0.06436596291087845,0.7423958972338691,2.3636648194269583e-13,3.815021934916554e-15,0.0030974862639303363,0.00021617086950718417
35,hastie,CF-Iso,5,0.9724971428749235,0.06897243862785564,0.7240659734069774,9.548362100986196e-12,5.9710247269386695e-15,0.002494687737631113,7.264695792714369e-05
35,hastie,CF-Iso,6,0.9773461790623507,0.0634162336987578,0.7463096961745863,3.3639757646142243e-14,1.3640587994819877e-18,0.003009781037356571,3.061344321299408e-07
35,hastie,CF-Iso,7,0.9735669749530637,0.06788134753541826,0.7284572311211187,1.4092060851567112e-12,1.0981987240999342e-15,0.0031459554238944037,0.00012311540271852793
35,hastie,CF-Iso,8,0.9728950611356507,0.06641240012177992,0.7342823758010855,6.080553727194626e-09,2.8249264373840462e-12,0.002469430711199642,1.2426552120990111e-05
35,hastie,CF-Iso,9,0.9751093527738265,0.06465438279556193,0.7413364841927199,4.4061919668436644e-09,3.915299105817824e-12,0.0024398977118430445,5.782080746499671e-05
60,hastie,CF-Iso,0,0.975749644191425,0.06286309189730427,0.748368694593605,0.0007232695597024774,2.523852671413911e-05,0.0011642701269614863,3.991465035450405e-05
60,hastie,CF-Iso,1,0.9770710956990964,0.06139428844981284,0.7543179126514411,3.532300884323547e-05,1.7829789821365108e-05,0.0009944373412665714,2.7897570860995008e-05
60,hastie,CF-Iso,2,0.9764319581012588,0.06167985060332603,0.7532801589736451,0.009205520491132102,0.0017060708362509082,0.00072503027334329,3.377167213464129e-05
60,hastie,CF-Iso,3,0.971458277017414,0.06829838735178986,0.7267112246373364,0.19898899781134982,0.007490713477733502,0.00021550408664121256,5.2451708382866865e-09
60,hastie,CF-Iso,4,0.9786534891218552,0.05934738429530159,0.7624811469988264,0.00022593874307308415,4.042917995822871e-06,0.0012213089172218093,0.00015740616527555953
60,hastie,CF-Iso,5,0.9822822683995077,0.054969591586215,0.780086349731697,2.834113750349587e-07,3.4349660760176862e-12,0.001659479398678948,3.3986146682089294e-06
60,hastie,CF-Iso,6,0.977259281483704,0.06056109542159141,0.7577313914527797,9.633658349017526e-05,8.580136074736004e-08,0.0009074810903502162,3.1116347245431667e-05
60,hastie,CF-Iso,7,0.9801451737355635,0.058737403063840114,0.76503535000704,8.339096474463403e-07,2.2302813138473288e-08,0.0015784828937365461,6.335344507524294e-05
60,hastie,CF-Iso,8,0.9740246836523483,0.06483384097425648,0.740598229249662,0.00019855481042607703,2.2953121267923656e-05,0.0015973159216708672,2.3657604783984358e-05
60,hastie,CF-Iso,9,0.9781638958036984,0.05906505724458266,0.7636977617348667,0.0021188143906698542,4.414725662714568e-07,0.001017460054562614,1.6902814897086274e-05
85,hastie,CF-Iso,0,0.977721935598648,0.06050854256144595,0.7577935940877898,0.044710562620906225,0.023972221323899548,0.0007647313009692255,3.875929364456365e-05
85,hastie,CF-Iso,1,0.978473250130389,0.059441930750623054,0.7621306803681005,0.0009126015763987194,0.000624397032637527,0.0006416144158422499,3.354728289402584e-05
85,hastie,CF-Iso,2,0.9813406334944595,0.054765465959456514,0.7809377467181681,0.008723947426608425,1.1318275336731748e-05,0.0012402158451087423,1.3305885237577948e-06
85,hastie,CF-Iso,3,0.974328610502504,0.06500602413296291,0.7398852679348421,0.3827929977720439,0.0687491592926007,0.0003083934611809833,5.967881636951428e-06
85,hastie,CF-Iso,4,0.9816935887316427,0.05428899250250444,0.7827257362241488,0.008720637497525163,0.00035693575360265625,0.0008588081072817239,3.748544920048519e-05
85,hastie,CF-Iso,5,0.983482683221619,0.052944839724507906,0.7881866568277972,3.34689711494196e-05,6.070001563227864e-08,0.001256863457509462,4.438104923539399e-05
85,hastie,CF-Iso,6,0.9803091420253136,0.05561442507953355,0.7775200516870345,0.0,1.5354436111403113e-05,0.0006320692834915274,1.4490844285116658e-06
85,hastie,CF-Iso,7,0.9844918963702566,0.05123181252914307,0.7950596336999846,5.3233883687831e-06,4.485329012576587e-08,0.0014449071163953762,1.7703882799890027e-05
85,hastie,CF-Iso,8,0.976710037769669,0.06136485108175017,0.7544777419749449,0.015880917622916435,0.00037250498261072316,0.0004370142829576553,1.4694652621538205e-05
85,hastie,CF-Iso,9,0.983556187766714,0.05070932629823465,0.7971266284298933,0.00012590137879475716,7.8252462216368e-06,0.0007946400239564614,9.242290605852493e-06
110,hastie,CF-Iso,0,0.9792305639565915,0.05741765288178793,0.7701659509268407,0.0,0.10433218743779615,0.0004035301736855807,4.489918342209034e-06
110,hastie,CF-Iso,1,0.978552617362349,0.05790834081578984,0.7682676612801695,0.21205621631804583,0.007763625155777667,0.0002633186317621644,1.3247964296476294e-05
110,hastie,CF-Iso,2,0.9779190718561278,0.05904688066697886,0.7638120574424089,0.0,0.32057879431698977,0.00019050647135032434,1.612187317978457e-05
110,hastie,CF-Iso,3,0.9778622862366264,0.06042932036124929,0.7581984641531789,0.0717361103736649,0.0019459003107466435,0.00043379876417873624,1.2509773147806763e-05
110,hastie,CF-Iso,4,0.9841046792142389,0.051392813920509844,0.7943167612212922,0.0009692348751438873,0.00012988729913117632,0.0013326450992212806,4.3255083315329725e-05
110,hastie,CF-Iso,5,0.9846688735392657,0.05040796766752506,0.7983357734251026,0.004539286454533054,3.733803799581537e-06,0.0010096002723368404,3.548807440091457e-05
110,hastie,CF-Iso,6,0.97997466413308,0.05697188432045743,0.7720896716853388,0.03586982290722618,0.0006535351799905805,0.0007608228125558063,2.898391795632958e-05
110,hastie,CF-Iso,7,0.9871982918017863,0.0471502482243597,0.8113869358664567,3.3852006664503165e-07,4.110851578472825e-10,0.001813772868354899,1.76374474918528e-05
110,hastie,CF-Iso,8,0.9789492776817532,0.05787895653644676,0.7684248906262132,0.37200965254803875,0.068615095981125,0.000338812389648297,1.229293258129391e-06
110,hastie,CF-Iso,9,0.9827740487197725,0.05273905377547257,0.7890062749025368,0.09699203110276133,0.0057650879551607755,0.000517979820532783,5.046013165831498e-05
135,hastie,CF-Iso,0,0.9775435865504358,0.06000821052972628,0.7597963463940862,0.0,0.5705027377540333,0.0003196648606381075,4.745157256235694e-05
135,hastie,CF-Iso,1,0.9830783281214777,0.05260291069165792,0.7894984496823215,0.07338587817500575,0.004308030778594767,0.00027271342487186393,1.0318764202431735e-05
135,hastie,CF-Iso,2,0.9821433015880917,0.05368940203308794,0.7852420100756661,0.05553104442055856,0.004558466817122847,0.000486337211586005,2.920467675973663e-07
135,hastie,CF-Iso,3,0.9786616758906215,0.05931712247642401,0.7626488063895082,0.1087213102008564,0.06277877718876806,0.0002798812259777087,2.244928353353984e-07
135,hastie,CF-Iso,4,0.9838527642827762,0.05125380481554985,0.7948731005369819,0.005150282501046544,0.002409202975874197,0.0008857416845716405,3.525497213279976e-05
135,hastie,CF-Iso,5,0.9832917637007538,0.05224802209946807,0.7909743746017861,0.16907225123735503,0.005472946769293762,0.00040366485352923934,1.7193753911172372e-05
135,hastie,CF-Iso,6,0.9819699747752553,0.053133248420735794,0.7874457508921461,0.13717822168121518,0.0020912226035129503,0.0005284860539465263,1.4090838474147693e-05
135,hastie,CF-Iso,7,0.9858086473089833,0.048785621425257865,0.804845024380529,0.00012294990142658335,3.697840003312144e-06,0.001456236295264637,4.845172573112322e-05
135,hastie,CF-Iso,8,0.9787061043182611,0.05784885321253394,0.7685453347555616,0.5712196546897788,0.16340256011936216,0.00015570484660050796,1.2963523432061701e-05
135,hastie,CF-Iso,9,0.9845212482219061,0.04973924401247793,0.8010076475318717,0.04009244075119245,0.0004785298228076703,0.0005440869247983235,6.7239109905604e-06
160,hastie,CF-Iso,0,0.9792145525707169,0.05815419028621582,0.7672177047785348,0.0,0.9923957734787289,0.0007863635275885911,2.4705566239434422e-06
