dataset,model,random_seed,auc,brier,brier_scaled,hosmer_lemshow,speigelhalter,reliability_small,reliability_large
hastie,CF-Iso,0,0.9810938889877244,0.05526485418716448,0.7787832735792206,0.8170866181367513,0.5791682895522903,9.065871061017617e-05,5.650036398328852e-07
hastie,CF-Logit,0,0.9811127913182709,0.054996064477379446,0.7798591975198297,0.41914539590093525,0.9879342933863915,0.00038436109489384864,7.883071147237704e-06
hastie,RC-Iso,0,0.9806413449564133,0.054547038415686776,0.7816565799051854,0.0,0.037356406947142776,9.774435039155379e-05,2.7316707082790096e-05
hastie,RC-Logit,0,0.977655221490838,0.061142341808058026,0.7552565930116873,0.015228407084774798,0.6203968192191893,0.0009628930014817585,1.218758508573584e-07
hastie,RF-NoCal,0,0.9788734210994486,0.11068895831480438,0.5569290940965845,0.0,2.108963975760513e-146,0.051244252575337615,6.343003890982924e-05
hastie,CF-Iso,1,0.9832041596432965,0.051469468603323416,0.7940341552859196,0.0,0.16732850301275548,9.738168261161383e-05,2.4438479009896237e-06
hastie,CF-Logit,1,0.9837615088044273,0.05114524293971698,0.7953316120985662,0.008257712960002994,0.7017494947338292,0.0010696978691577483,0.0001560343902250426
hastie,RC-Iso,1,0.979780030493024,0.058198340295985855,0.7671071676996829,0.07681550247074131,1.3382914849263298e-06,0.00048633814969821986,1.6344834031937834e-05
hastie,RC-Logit,1,0.980317815742635,0.056817403483699916,0.7726332752107459,0.4630424058967908,0.09762697816942136,0.0001485285927033802,3.473314112305607e-05
hastie,RF-NoCal,1,0.9839024578942384,0.10990911458159625,0.5601756878229474,0.0,3.513746512349985e-151,0.0569609962237114,6.33965400871005e-05
hastie,CF-Iso,2,0.9842848609508639,0.04913275525346476,0.803468629597038,0.9932249472035717,0.8583823202436107,7.800397441704176e-05,1.0385635607011108e-05
hastie,CF-Logit,2,0.9827790804961432,0.05099567731123225,0.7960169281184988,0.48296747306304644,0.11401870497477078,0.00010998258414870676,1.0294709537161264e-06
hastie,RC-Iso,2,0.9801039646292705,0.05505446271225015,0.7797817576519018,0.0,0.02434725587234783,0.0002590309904952564,1.0695420912296086e-05
hastie,RC-Logit,2,0.9797888529579608,0.05699407317475689,0.7720233020090649,0.6511646018907216,0.9285714949554983,8.255424034760949e-05,5.7289883485404835e-08
hastie,RF-NoCal,2,0.9831750812001444,0.11071415411040952,0.5571425962563108,0.0,1.876906618087743e-151,0.057585043045756346,0.00012926939989824302
hastie,CF-Iso,3,0.9807701883678579,0.0563193169949688,0.7746442080463952,0.8728601188529653,0.8155399969937485,7.029176669139713e-05,1.2216597986560914e-08
hastie,CF-Logit,3,0.9801664224334168,0.05785220457305484,0.7685105204846963,7.553184685049619e-05,0.021083678142019082,0.0010832484735389496,0.00038209135613247804
hastie,RC-Iso,3,0.9743926328107216,0.06494707617575712,0.7401211419526563,0.0,0.11652703709964728,0.00026456875595933226,2.8668454740120837e-05
hastie,RC-Logit,3,0.97544522180173,0.06458572965059997,0.7415670318655925,0.002422978485192795,0.9200938809249857,0.001108539994580058,7.612711548237088e-05
hastie,RF-NoCal,3,0.9801970997894377,0.11156156471681655,0.5535981949037581,0.0,4.0068975532185194e-148,0.05334539544640145,0.00011648910094745457
hastie,CF-Iso,4,0.9856195039521518,0.04693942869437156,0.8121400058923886,0.37236252843500395,0.9747536158001755,0.00033693483573196215,5.071767459037694e-05
hastie,CF-Logit,4,0.9856868739647141,0.04761655263409527,0.809430034704736,0.21387781765403524,0.48372778732258914,0.0004308927387609737,6.522053779862549e-05
hastie,RC-Iso,4,0.9805589709953196,0.056064219425358996,0.7756209603769915,0.0,6.286237035939166e-05,0.0007890034277220759,0.00011026324405622882
